15095,New York,NY,Broome,36007.0,Republican,Ted Cruz,3683,0.218
15096,New York,NY,Cattaraugus,36009.0,Republican,Donald Trump,3503,0.5770000000000001
15097,New York,NY,Cattaraugus,36009.0,Republican,John Kasich,1357,0.223
15098,New York,NY,Cattaraugus,36009.0,Republican,Ted Cruz,1214,0.2
15099,New York,NY,Cayuga,36011.0,Republican,Donald Trump,3024,0.496
15100,New York,NY,Cayuga,36011.0,Republican,John Kasich,1942,0.318
15101,New York,NY,Cayuga,36011.0,Republican,Ted Cruz,1136,0.18600000000000005
15102,New York,NY,Chautauqua,36013.0,Republican,Donald Trump,4648,0.541
15103,New York,NY,Chautauqua,36013.0,Republican,John Kasich,2098,0.244
15104,New York,NY,Chautauqua,36013.0,Republican,Ted Cruz,1838,0.214
15105,New York,NY,Chemung,36015.0,Republican,Donald Trump,3982,0.502
15106,New York,NY,Chemung,36015.0,Republican,John Kasich,2248,0.28300000000000003
15107,New York,NY,Chemung,36015.0,Republican,Ted Cruz,1703,0.215
15108,New York,NY,Chenango,36017.0,Republican,Donald Trump,2384,0.514
15109,New York,NY,Chenango,36017.0,Republican,John Kasich,1258,0.271
15110,New York,NY,Chenango,36017.0,Republican,Ted Cruz,1000,0.215
15111,New York,NY,Clinton,36019.0,Republican,Donald Trump,2364,0.545
15112,New York,NY,Clinton,36019.0,Republican,John Kasich,1300,0.3
15113,New York,NY,Clinton,36019.0,Republican,Ted Cruz,674,0.155
15114,New York,NY,Columbia,36021.0,Republican,Donald Trump,2522,0.573
15115,New York,NY,Columbia,36021.0,Republican,John Kasich,1194,0.271
15116,New York,NY,Columbia,36021.0,Republican,Ted Cruz,684,0.155
15117,New York,NY,Cortland,36023.0,Republican,Donald Trump,1627,0.444
15118,New York,NY,Cortland,36023.0,Republican,John Kasich,1202,0.328
15119,New York,NY,Cortland,36023.0,Republican,Ted Cruz,838,0.229
15120,New York,NY,Delaware,36025.0,Republican,Donald Trump,2683,0.591
15121,New York,NY,Delaware,36025.0,Republican,John Kasich,1075,0.237
15122,New York,NY,Delaware,36025.0,Republican,Ted Cruz,779,0.172
15123,New York,NY,Dutchess,36027.0,Republican,Donald Trump,12447,0.644
15124,New York,NY,Dutchess,36027.0,Republican,John Kasich,4196,0.217
15125,New York,NY,Dutchess,36027.0,Republican,Ted Cruz,2681,0.139
15126,New York,NY,Erie,36029.0,Republican,Donald Trump,37607,0.657
15127,New York,NY,Erie,36029.0,Republican,John Kasich,12245,0.214
